course,cod_institution,cod_course,year,filename
UA-EET,0300,9365,2007,data/ua_eet_2007
UA-EET,0300,9365,2008,data/ua_eet_2008
UA-EET,0300,9365,2009,data/ua_eet_2009
UA-EET,0300,9365,2010,data/ua_eet_2010
UA-EET,0300,9365,2011,data/ua_eet_2011
UA-EET,0300,9365,2012,data/ua_eet_2012
UA-EET,0300,9365,2013,data/ua_eet_2013
UA-EET,0300,9365,2014,data/ua_eet_2014
UA-EET,0300,9365,2015,data/ua_eet_2015
UA-EET,0300,9365,2016,data/ua_eet_2016
UC-EEC,0501,9367,2007,data/uc_eec_2007
UC-EEC,0501,9367,2008,data/uc_eec_2008
UC-EEC,0501,9367,2009,data/uc_eec_2009
UC-EEC,0501,9367,2010,data/uc_eec_2010
UC-EEC,0501,9367,2011,data/uc_eec_2011
UC-EEC,0501,9367,2012,data/uc_eec_2012
UC-EEC,0501,9367,2013,data/uc_eec_2013
UC-EEC,0501,9367,2014,data/uc_eec_2014
UC-EEC,0501,9367,2015,data/uc_eec_2015
UC-EEC,0501,9367,2016,data/uc_eec_2016
IST-EEC,0807,9367,2007,data/ist_eec_2007
IST-EEC,0807,9367,2008,data/ist_eec_2008
IST-EEC,0807,9367,2009,data/ist_eec_2009
IST-EEC,0807,9367,2010,data/ist_eec_2010
IST-EEC,0807,9367,2011,data/ist_eec_2011
IST-EEC,0807,9367,2012,data/ist_eec_2012
IST-EEC,0807,9367,2013,data/ist_eec_2013
IST-EEC,1518,9367,2014,data/ist_eec_2014
IST-EEC,1518,9367,2015,data/ist_eec_2015
IST-EEC,1518,9367,2016,data/ist_eec_2016
UNL-EEC,0903,9367,2008,data/unl_eec_2008
UNL-EEC,0903,9367,2009,data/unl_eec_2009
UNL-EEC,0903,9367,2010,data/unl_eec_2010
UNL-EEC,0903,9367,2011,data/unl_eec_2011
UNL-EEC,0903,9367,2012,data/unl_eec_2012
UNL-EEC,0903,9367,2013,data/unl_eec_2013
UNL-EEC,0903,9367,2014,data/unl_eec_2014
UNL-EEC,0903,9367,2015,data/unl_eec_2015
UNL-EEC,0903,9367,2016,data/unl_eec_2016
UM-EEI,1000,9366,2007,data/um_eei_2007
UM-EEI,1000,9366,2008,data/um_eei_2008
UM-EEI,1000,9366,2009,data/um_eei_2009
UM-EEI,1000,9366,2010,data/um_eei_2010
UM-EEI,1000,9366,2011,data/um_eei_2011
UM-EEI,1000,9366,2012,data/um_eei_2012
UM-EEI,1000,9366,2013,data/um_eei_2013
UM-EEI,1000,9366,2014,data/um_eei_2014
UM-EEI,1000,9366,2015,data/um_eei_2015
UM-EEI,1000,9366,2016,data/um_eei_2016
UP-EEC,1105,9367,2007,data/up_eec_2007
UP-EEC,1105,9367,2008,data/up_eec_2008
UP-EEC,1105,9367,2009,data/up_eec_2009
UP-EEC,1105,9367,2010,data/up_eec_2010
UP-EEC,1105,9367,2011,data/up_eec_2011
UP-EEC,1105,9367,2012,data/up_eec_2012
UP-EEC,1105,9367,2013,data/up_eec_2013
UP-EEC,1105,9367,2014,data/up_eec_2014
UP-EEC,1105,9367,2015,data/up_eec_2015
UP-EEC,1105,9367,2016,data/up_eec_2016
ISEL-EETC,3118,9108,2007,data/isel_eetc_2007
ISEL-EETC,3118,9108,2008,data/isel_eetc_2008
ISEL-EETC,3118,9108,2009,data/isel_eetc_2009
ISEL-EETC,3118,9108,2010,data/isel_eetc_2010
ISEL-EETC,3118,9108,2011,data/isel_eetc_2011
ISEL-EETC,3118,9108,2012,data/isel_eetc_2012
ISEL-EETC,3118,9108,2013,data/isel_eetc_2013
ISEL-EETC,3118,9108,2014,data/isel_eetc_2014
ISEL-EETC,3118,9108,2015,data/isel_eetc_2015
ISEL-EETC,3118,9108,2016,data/isel_eetc_2016
ISEP-EEC,3135,9112,2007,data/isep_eec_2007
ISEP-EEC,3135,9112,2008,data/isep_eec_2008
ISEP-EEC,3135,9112,2009,data/isep_eec_2009
ISEP-EEC,3135,9112,2010,data/isep_eec_2010
ISEP-EEC,3135,9112,2011,data/isep_eec_2011
ISEP-EEC,3135,9112,2012,data/isep_eec_2012
ISEP-EEC,3135,9112,2013,data/isep_eec_2013
ISEP-EEC,3135,9112,2014,data/isep_eec_2014
ISEP-EEC,3135,9112,2015,data/isep_eec_2015
ISEP-EEC,3135,9112,2016,data/isep_eec_2016
